id,text,author_id,created_at,user_name
1538477243743277057,@gp_pulipaka #FCFpay featuring  #Mathematics #ComputerScience  #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #Python #RStats #TensorFlow #JavaScript #ReactJS #CloudComputing #Serverless #Linux #Books #Programming #Coding #100DaysofCode,1499771876280651778,2022-06-19T11:02:13.000Z,CryptoPayments2
1538477057583218689,"#FEATURED #COURSES

Machine Learning, Data Science and Deep Learning with Python

Complete hands-on #machine #learning tutorial with #data #science, #Tensorflow, #artificial #intelligence, and neural networks

https://t.co/PaHDf4fIL2

#python #100daysofcode #coding #udemy https://t.co/U7uoyW7zoS",134434122,2022-06-19T11:01:28.000Z,byLilyV
1538477051442765826,"Making sense of the #Metaverse

https://t.co/AXGwZ9EZvr

@KBendelak @NeiraOsci @LouisSerge @AskAaronLee @JackSintini

#Web3 #Technology #NFTCommunity #TechForGood
#VR #Fintech #Finserv #Cloud #Innovation #Flutter
#100DaysOfCode #Python #Marketing #IoT #Digital",243568454,2022-06-19T11:01:27.000Z,stratorob
1538476783430942723,"The Role of #Fintech, #Insurtech and #Edtech in #Mental #Healthcare
https://t.co/yQ9zugsCoN

#cryptocurrencies #MachineLearning #AI #Python #DeepLearning #100DaysOfCode #fintech #nocode #bitcoin #cybersecurity #cybersecurite #metaverse #NFTs https://t.co/5sakhWxTHW",1273173749492219905,2022-06-19T11:00:23.000Z,VeilleCyber3
1538476697909047297,"💻Implementing AlexNet in TensorFlow 2.0🔎

📑Learn more▶️https://t.co/JSoaIsatae

🧷#ComputerVision #MachineLearning #AI #Python #IoT #IIoT #TensorFlow #DeepLearning #Robotics #100DaysOfCode #Tech https://t.co/hXLD2P5vJz https://t.co/AGAndxm5lY",1053709905960546305,2022-06-19T11:00:02.000Z,BojanaVukov
1538476697661542400,"👨‍💼Logistic Regression in #PyTorch📉

📖Read more👉https://t.co/3Ugv6sfnEL

🧷#TensorFlow #DeepLearning #ComputerVision #Tech #MachineLearning  #IoT  #Robotics #100DaysOfCode #AI #Python https://t.co/hQeaD0n0AH",1224066641513918466,2022-06-19T11:00:02.000Z,StrahinjaZivko7
1538476304076619777,The latest The Application software Daily! https://t.co/8tYKnUDewI Thanks to @chmod556 @danielmunoz #100daysofcode #python,991691213710528515,2022-06-19T10:58:29.000Z,AppsHome1
1538475311301799936,"#Need #urgent #Logo for your business? Please, order me here: https://t.co/Bm0PsKkRdm 
#TechForGood #Digital #AI #tech #innovation #IoT #DataScience #Flutter #100DaysOfCode #coding #TensorFlow #python #javascript #Metaverse #fintech @dauchae @TheRock https://t.co/C19pz6wk6x",1536670433525002240,2022-06-19T10:54:32.000Z,MUKTA92746036
1538474658957250567,"⚡️What are the Main Soft #Skills You Need to Succeed?

v/@businessphrases 
#Leadership #innovation #development #Management #futureofwork #Tech #DataScience #BigData #Analytics #twitme #AI #digital #5G #Python #Flutter #Fintech #WomenInSTEM #JavaScript #Coding #bot #100DaysofCode https://t.co/AX0h6MGmRF",1403861754808049666,2022-06-19T10:51:56.000Z,Khulood_Almani
1538474291427164161,"""The more you feed your mind with positive thoughts, the more you can attract great things into your life.""- Roy T. Bennett #softwareengineer #javascript #python #C++ #golang #nodejs #reactjs #stockopertor #highgrowthstocks $SPX $QQQ $RUT $VIX #canslim #100DaysOfCode",1243665419501744133,2022-06-19T10:50:29.000Z,glitchbotio
